Sub_ID;Island_Group;Sub_Area;Tech_Pot_med;LCOE_med;BPP
19400;Rest;0.997;0.003305511;17.16;10.23
19402;Rest;2.747;0.010738944;17.37;10.23
19447;Rest;1.665;0.008673673;12.45;10.23
19989;Rest;0.732;0.002420322;13.48;12.35
20063;Rest;0.75;0.001989817;18.92;12.35
20209;Rest;0.841;0.002442612;16.98;12.35
20283;Rest;0.862;0.003319995;14.68;10.23
20657;Rest;1.645;0.005693484;17.66;10.23
20889;Rest;0.735;0.002791568;12.89;10.23
21199;Rest;3.123;0.013873081;15.66;12.35
21200;Rest;17.687;0.159469688;9.62;12.35
21203;Rest;4.826;0.037260382;10.45;12.35
21204;Rest;1.569;0.008427967;12.01;12.35
21211;Rest;2.023;0.015846964;9.87;12.35
21212;Rest;48.373;0.460127765;9.27;12.35
21219;Rest;16.787;0.139816482;10.14;12.35
21220;Rest;14.885;0.129986195;9.89;12.35
21223;Rest;0.813;0.003382414;12.12;12.35
21224;Rest;5.017;0.030918327;12.42;12.35
21225;Rest;0.855;0.004585047;10.3;12.35
21226;Rest;1.006;0.006786022;9.75;12.35
21227;Rest;1.713;0.010106192;11.03;12.35
21228;Rest;1.435;0.009385325;10.26;12.35
21231;Rest;3.971;0.031671194;10.1;12.35
21234;Rest;0.684;0.00236807;13.01;12.35
21241;Rest;1.783;0.011704483;10.34;12.35
21242;Rest;27.523;0.14134207;15.19;12.35
21243;Rest;1.999;0.010323935;13.13;12.35
21244;Rest;2.583;0.015476428;11.9;12.35
21248;Rest;6.704;0.036544526;14.1;12.35
21249;Rest;3.442;0.021522029;12.38;12.35
21251;Rest;17.931;0.15713048;9.78;12.35
21252;Rest;15.169;0.131476357;9.88;12.35
21253;Rest;41.79;0.373558226;9.79;12.35
21254;Rest;5.948;0.047756071;10.13;12.35
21255;Rest;22.227;0.19310516;9.91;12.35
21256;Rest;1.521;0.004832009;19.36;12.35
21257;Rest;1.326;0.00796675;11.41;12.35
21258;Rest;39.299;0.176588693;17.15;12.35
21259;Rest;25.414;0.090886972;21.06;12.35
21263;Rest;1.557;0.006138602;15.54;12.35
21264;Rest;95.488;0.372395602;19.54;12.35
21266;Rest;9.019;0.029664109;22.22;12.35
21269;Rest;1.019;0.003949272;15.57;12.35
21270;Rest;15.167;0.070037072;16.56;12.35
21272;Rest;0.779;0.002393968;16.2;12.35
21273;Rest;2.839;0.01203306;16.17;12.35
21274;Rest;28.704;0.132202668;16.81;12.35
21275;Rest;15.234;0.060655443;18.92;12.35
21276;Rest;4.677;0.015676721;21.14;12.35
21278;Rest;10.668;0.042682504;18.46;12.35
21279;Rest;1.949;0.006808597;18.43;12.35
21281;Rest;2.173;0.007632934;19.08;12.35
21282;Rest;2.651;0.009490333;18.83;12.35
21283;Rest;11.43;0.050626392;17.05;12.35
21285;Rest;11.078;0.045599679;18.08;12.35
21312;Rest;39.153;0.149805;19.83;12.35
21313;Rest;27.425;0.097817003;21;12.35
21317;Rest;26.241;0.097328118;20.5;12.35
21318;Rest;13.82;0.051277798;19.83;12.35
21332;Rest;2.661;0.008193569;21.81;12.35
21430;Rest;1.014;0.004701502;13.1;12.35
21433;Rest;1.092;0.004952261;13.54;12.35
21434;Rest;2.297;0.007997082;19.73;12.35
21583;Rest;0.747;0.003660876;11.25;12.35
21590;Rest;1.301;0.00486236;16.58;12.35
21591;Rest;11.472;0.094994099;10.19;12.35
21595;Rest;1.143;0.007946664;10.01;12.35
21603;Rest;0.976;0.00475;11.53;12.35
21605;Rest;2.964;0.019102558;11.68;12.35
21606;Rest;2.032;0.008931295;15.63;12.35
21609;Rest;3.288;0.012537818;17.89;12.35
21610;Rest;3.269;0.012782303;17.59;12.35
21614;Rest;48.029;0.245099521;15.3;12.35
21616;Rest;12.05;0.05089796;17.88;12.35
21617;Rest;24.828;0.148771021;13.3;12.35
21619;Rest;40.165;0.178476286;17.26;12.35
21621;Rest;6.627;0.029039594;16.73;12.35
21623;Rest;2.245;0.01127395;14.17;12.35
21625;Rest;2.847;0.013100025;15.04;12.35
21632;Rest;1.201;0.012076984;7.34;12.35
21638;Rest;62.25;0.719116985;8.07;12.35
21640;Rest;4.931;0.027233223;13.74;12.35
21641;Rest;1.868;0.011427833;11.68;12.35
