Sub_ID;Island_Group;Sub_Area;Tech_Pot_med;LCOE_med;BPP
16164;Rest;122.093;0.550180686;17.4;12.63
16166;Rest;40.597;0.221417233;14.57;12.63
16167;Rest;32.265;0.190193288;13.54;12.63
16168;Rest;4.415;0.023532706;13.87;12.63
16169;Rest;2.917;0.018057095;11.9;12.63
16170;Rest;45.261;0.24477551;14.63;12.63
16174;Rest;115.814;0.452607399;19.6;11.22
16175;Rest;6.089;0.028648699;15.91;11.22
16177;Rest;87.931;0.534250078;13.47;12.63
16178;Rest;161.256;0.780108263;16.35;12.63
16179;Rest;15.253;0.062365412;18.55;12.63
16180;Rest;0.987;0.004030675;14.5;12.63
16181;Rest;133.673;1.179020679;9.9;11.22
16182;Rest;134.964;0.942639703;11.91;11.22
16183;Rest;62.412;0.363589042;13.85;11.22
16184;Rest;93.903;0.462861745;16.07;11.22
16185;Rest;28.228;0.177245144;12.92;11.22
16186;Rest;98.88;0.889992591;9.71;11.22
16187;Rest;43.551;0.264926572;13.41;11.22
16188;Rest;132.001;1.453993514;8.35;11.22
16189;Rest;7.678;0.08940352;7.74;11.22
16190;Rest;189.67;1.900662408;8.99;11.22
16191;Rest;189.744;1.626709927;10.13;11.22
16192;Rest;66.668;0.513718217;11.02;11.22
16193;Rest;113.07;0.630412344;14.5;11.22
16194;Rest;151.303;0.892946501;13.8;11.22
16195;Rest;185.565;1.715541409;9.55;11.22
16196;Rest;189.238;1.826278558;9.26;11.22
16197;Rest;138.453;1.30066362;9.44;11.22
16198;Rest;28.781;0.177435901;13.23;11.22
16199;Rest;60.613;0.345510126;14.18;11.22
16200;Rest;132.592;0.670961807;15.71;11.22
16201;Rest;188.738;1.457164728;11.01;11.22
16202;Rest;35.931;0.142637879;19.27;11.22
16203;Rest;22.684;0.105941549;16.48;11.22
16204;Rest;187.418;0.984119348;15.17;11.22
16205;Rest;189.748;1.402419287;11.4;11.22
16206;Rest;157.207;1.428877304;9.66;11.22
16207;Rest;4.722;0.046712258;8.63;11.22
16208;Rest;42.203;0.169333848;18.99;11.22
16210;Rest;0.565;0;18.66;11.22
16211;Rest;157.519;0.690745769;17.75;11.22
16212;Rest;171.099;1.065197098;13.1;11.22
16213;Rest;8.658;0.062531261;11.3;11.22
16219;Rest;1.346;0.004836887;17.87;12.63
