Wind Speed;UP86;GW82/1500;LWT90/1500;SG1700.100;WD103-2000;H93-2000;TZ2000/116;WT2000df/113;XE93-2000;HJWT2000/87;SG2.1-114;AGW 110/2.1;U120;G114/2500;WD103-2500;TZ2500/122;SG2500.131 DD;121;SG2700.116 DD;WT3000df/140;GW140/3400;V136/3450;136;SWT-3.6-130;XD140-4000;V150/4200;AGW147/4.2;U151
19.5;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
20;1500;1500;1500;1700;2000;2000;2000;2000;2000;2000;2100;2100;2300;2500;2500;2500;2500;2500;2700;3000;3400;3450;3500;3600;4000;4200;4200;4300
20.5;1500;1500;1500;0;0;2000;2000;0;2000;2000;2100;0;2300;2500;2500;2500;0;2500;2700;0;0;3450;3500;3600;4000;4200;0;4300
21;1500;1500;1500;0;0;2000;2000;0;2000;2000;2049;0;2300;2500;2500;2500;0;2500;2700;0;0;3450;3500;3600;4000;4200;0;4300
21.5;1500;1500;1500;0;0;2000;2000;0;2000;2000;1982;0;2300;2500;2500;2500;0;2500;2700;0;0;3450;3500;3600;4000;4200;0;4300
22;1500;1500;1500;0;0;2000;2000;0;2000;2000;1914;0;2300;2500;2500;2500;0;2500;2700;0;0;3450;3500;3600;4000;4200;0;4300
22.5;1500;1500;1500;0;0;2000;2000;0;2000;2000;1833;0;0;2460;2500;2500;0;0;2700;0;0;0;0;3600;4000;4200;0;4300
23;1500;1500;1500;0;0;2000;2000;0;2000;2000;1751;0;0;2400;2500;2500;0;0;2700;0;0;0;0;3600;4000;0;0;4300
23.5;1500;1500;1500;0;0;2000;2000;0;2000;2000;1681;0;0;2335;2500;2500;0;0;2700;0;0;0;0;3600;4000;0;0;4300
24;1500;1500;1500;0;0;2000;2000;0;2000;2000;1610;0;0;2250;2500;2500;0;0;2700;0;0;0;0;3600;4000;0;0;4300
24.5;1500;1500;1500;0;0;2000;2000;0;2000;2000;1545;0;0;0;2500;2500;0;0;0;0;0;0;0;3600;4000;0;0;4300
25;1500;1500;1500;0;0;2000;2000;0;2000;2000;1480;0;0;0;2500;2500;0;0;0;0;0;0;0;3600;4000;0;0;4300
25.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
